101080	10211	en	Karatani, Kojin, and Seiji M. Lippit, eds.	History and Repetition	-	History/World	-	2012 Columbia University Press	-	Columbia University Press	-	-	Edited by Kojin Karatani and Seiji M. Lippit	2011-11-11
100503	7559	en	Marc Levinson	Guide to Financial Markets	-	-	-	© Marc Levinson, 2014	-	Public Affairs	9781610393904	-	-	-
80354	9811	en	José Vilson	This Is Not a Test	-	Education	-	-	-	Haymarket Books	978-1-60846-428-9	-	-	2014-04-15
63441	8387	en	Gilbert Achcar	Marxism, Orientalism, Cosmopolitanism	Text	-	URN:ISBN:978-0-8635-6798-8	All rights reserved	-	Saqi	-	176 pages	-	-
265617	19211	en	Lucci, Stephen	Artificial Intelligence in the 21st Century	-	-	-	-	-	Mercury Learning and Information	B0084ATCSO	-	calibre (0.9.35) [http://calibre-ebook.com]	2012-05-17T00:00:00+00:00
138490	14261	en	Greg Lukianoff	Unlearning Liberty	Text	-	URN:ISBN:978-1-5940-3733-7	All rights reserved	-	Encounter Books	URN:ISBN:978-1-5940-3733-7	323 Pages	-	-
34882	6183	en	Esherick, Joseph S.	CURRENT Practice Guidelines in Primary Care 2014 (Lange)	-	-	-	-	-	McGraw-Hill Education	B00GWSY11I	-	calibre (0.9.42) [http://calibre-ebook.com]	2014-01-17T00:00:00+00:00
372891	16707	en	Sinnatamby, Chummy S.	Last's Anatomy (MRCS Study Guides)	-	-	-	-	-	Elsevier Health	9780702033957	-	calibre (0.9.42) [http://calibre-ebook.com]	2011-04-18T23:00:00+00:00
98663	7514	en	Abby Lee	Diary Of A Sex Fiend	-	-	-	Copyright © 2007 by Abby Lee	-	Skyhorse Publishing, Inc.	9781602390157	-	-	2011-01-24
464256	31488	en	John Kenneth Muir	Horror Films of the 1970s	-	General Fiction	-	-	-	McFarland	978-0-7864-3104-5	-	-	2012-11-19
152990	12552	en	TannerThies, Roger	Physiology - An Illustrated Review (Thieme's Illustrated Review Series)	-	-	-	-	-	Thieme Medical Pub	B0085TJUZ4	-	calibre (0.9.42) [http://calibre-ebook.com]	2011-10-06T00:00:00+00:00
173152	16210	en	Dominic Thomas	Africa and France	Text	-	-	All Rights Reserved	-	Indiana University Press	-	344 pages	-	2013
95417	10558	en	Anjan Chatterjee,	The Aesthetic Brain	Text	-	-	All rights reserved	-	Oxford University Press, USA	9780199811809	248 Pages	-	2014
111044	16904	en	Phil Freeman	Marooned	-	-	-	Copyright © 2007 by Phil Freeman	-	Da Capo Press	9780306816406	-	-	2012-02-28
96225	8404	en	James Paul Gee	The Anti-Education ERA	Text	-	-	All rights reserved	-	Palgrave Macmillan	9781137324115	256 pages	-	2013
168087	14645	en	Robert Kagan	Present Dangers	Text	-	URN:ISBN:978-1-5940-3339-1	All rights reserved	-	Encounter Books	URN:ISBN:978-1-5940-3339-1	413 Pages	-	-
122292	7675	en	John Williams	Butcher's Crossing	-	-	-	Copyright © 1960 by John Williams	-	New York Review Books	978-1-59017-424-1	-	Michelle Latiolais	-
163968	19220	en	Stead, Latha	First Aid for the Pediatrics Clerkship, Third Edition (First Aid Series)	-	-	-	-	-	McGraw-Hill	B004QTQBXQ	-	calibre (0.9.42) [http://calibre-ebook.com]	2010-10-04T14:00:00+00:00
155175	14450	en	Muravchik, Joshua	Trailblazers of the Arab Spring	-	-	-	Copyright ©2013 by Joshua Muravchik	-	Encounter Books	9781594036804	-	-	2013-08-30
240688	14597	en	Risse, Mathias	On Global Justice	Text	-	-	All Rights Reserved	-	Princeton University Press	9781400845507	480 Pages	-	2012
97601	10559	en	Walter Mischel	The Marshmallow Test: Mastering Self-Control	-	Psychology / Cognitive Psychology, Psychology / Developmental / Child, Science / Cognitive Science	-	Copyright © 2014 by Walter Mischel	-	Little, Brown and Company	9780316230858	-	-	2014-09-23
