32679	6260	fr-FR	Alphonse Allais	Amours, délices et orgues	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008067	epub	Alphonse Allais	2014-07-21
77476	9992	fr-FR	Stendhal	Rome, Naples et Florence - Tome II	-	Géographie, tourisme	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335062670	epub	Henri Beyle	2014-09-04
97181	9407	fr-FR	Gaston Leroux	Les Etranges Noces de Rouletabille	-	Policier, mystère	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007831	epub	Gaston Leroux	2014-07-21
25338	4400	fr-FR	Georges Rodenbach	Les Vies encloses	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id02938	epub	-	2016
183151	18258	fr-FR	Victor Tissot	Voyage au pays des Tziganes - La Hongrie inconnue	-	Géographie, tourisme	-	Copyright © 2014-10-31 Ilivri	-	ILIVRI	id01379	epub	Victor Tissot	2014-10-31
58692	5842	fr-FR	Madame d’Aulnoy	Contes de fées : La Belle aux cheveux d’or, L’Oiseau bleu - La Chatte blanche, La Biche au bois	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012996	epub	Marie-Catherine Le Jumel de Barneville	2014-07-21
110525	14290	fr-FR	Théophile Gautier	Histoire du romantisme - suivie de Notices romantiques et d’une Étude sur la poésie française	-	Documents et essais	-	Copyright © 2014-08-14 Ilivri	-	ILIVRI	9782335046571	epub	Théophile Gautier	2014-08-14
36551	4516	fr-FR	Charles Perrault	Les Contes	-	Nouvelles, contes	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335000078	epub	Charles Perrault	2014-07-21
17740	4077	fr-FR	J.-H. Rosny aîné	Les Xipéhuz	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id03718	epub	-	2016
25692	3591	fr-FR	Eugène Labiche	Un chapeau de paille d’Italie	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012866	epub	Eugène Labiche	2014-07-21
