22616	3340	fr-FR	Voltaire	La Prude - Comédie	-	Humour	-	Copyright © 2015-01-26 Ilivri	-	ILIVRI	id02044	epub	François-Marie Arouet	2015-01-26
68539	5664	fr-FR	Georges Feydeau	La Main passe !	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012651	epub	Georges Feydeau	2014-07-21
86118	10316	fr-FR	Le Grand Jacques	Le Tour du monde en vélocipède	-	Géographie, tourisme	-	Copyright © 2014-10-31 Ilivri	-	ILIVRI	9782335046656	epub	Richard Lesclide	2014-10-31
370304	16707	fr-FR	Jean-Jacques Rousseau	Julie ou la Nouvelle Héloïse	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008326	epub	Jean-Jacques Rousseau	2014-07-21
104813	10916	fr-FR	Jean de La Fontaine	Les Fables de La Fontaine	-	Poésie	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335004632	epub	Jean de La Fontaine	2014-09-09
175945	14660	fr-FR	Marcel Proust	À la recherche du temps perdu - Tome VII - Le Temps retrouvé	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007688	epub	Marcel Proust	2014-07-21
132291	11197	fr-FR	Gaston Leroux	Le Fantôme de l'Opéra	-	Policier, mystère	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008234	epub	Gaston Leroux	2014-07-21
83657	7086	fr-FR	Alexandre Dumas	La Dame aux camélias	-	Romans	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335046410	epub	Alexandre Dumas	2014-09-04
14027	1856	fr-FR	Madame de Lafayette	La Princesse de Montpensier	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335032369	epub	Marie-Madeleine Pioche de La Vergne	2014-07-21
143947	15475	fr-FR	Octave Mirbeau	Le Journal d'une femme de chambre	-	Romans	-	Copyright © 2014-09-19 Ilivri	-	ILIVRI	9782335062601	epub	Octave Mirbeau	2014-09-19
30797	5280	fr-FR	Honoré de Balzac	La Lune de miel  - Tome II	-	-	-	Copyright © 2016 Ilivri	-	ILIVRI	id01840	epub	-	2016
154859	12328	fr-FR	Victor Hugo	Han d’Islande	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335002652	epub	Victor Hugo	2014-07-21
121563	10022	fr-FR	George Sand	Nanon	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335046236	epub	Amantine Aurore Lucile Dupin	2014-07-21
10122	2308	fr-FR	Anatole France	L’affaire Crainquebille	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	id00979	epub	-	2015
34738	7170	fr-FR	Théodore de Banville	 Odes funambulesques	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335062694	epub	-	2015
86802	10941	fr-FR	Anatole France	Les dieux ont soif	-	Romans	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335046434	epub	François Anatole Thibault	2014-09-04
41145	6874	fr-FR	Paul Margueritte	Adam, Ève et Brid’oison	-	Romans	-	Copyright © 2015-01-26 Ilivri	-	ILIVRI	9782335063073	epub	Paul Margueritte	2015-01-26
55321	9227	fr-FR	Auguste Villiers de l’Isle-Adam	Chez les passants	-	Biographies, mémoires	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335062663	epub	Auguste Villiers de l’Isle-Adam	2014-09-04
1828	593	fr-FR	Renée Vivien	Poèmes en prose	-	Poésie	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	id01098	epub	Pauline Mary Tarn	2014-09-04
93394	9688	fr-FR	Maurice Leblanc 	Le Bouchon de cristal	-	Policier, mystère	-	Copyright © 2014-11-28 Ilivri	-	ILIVRI	9782335046335	epub	Maurice Leblanc 	2014-11-28
33054	4409	fr-FR	Pierre Loti	Judith Renaudin	-	Romans	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335003093	epub	Louis Marie Julien Viaud	2014-09-09
12190	2990	fr-FR	Emile Verhaeren	Petites légendes	-	Poésie	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012835	epub	Emile Adolphe Gustave Verhaeren	2014-07-21
