129666	9928	und	N. K. Jemisin	The Hundred Thousand Kingdoms	-	-	-	-	-	Orbit/Yen	9780316075978	-	calibre (0.7.12) [http://calibre-ebook.com]	2010-08-06 00:00:00+01:00
435496	23314	und	Dan Simmons	Carrion Comfort	-	Fiction	-	-	-	Macmillan	9780312567071	-	-	2009-11-24 00:00:00-08:00
64660	6087	und	Whoopi Goldberg	Is It Just Me?: Or is it Nuts Out There?	-	-	-	Copyright © 2010 Whoop, Inc	-	Hyperion Books	9781401396190	-	-	2010-10-15 00:00:00-07:00
114341	9116	und	Tom Franklin	Crooked Letter, Crooked Letter: A Novel	-	-	-	Copyright (c) 2010 by Tom Franklin	-	HarperCollins	9780060594664	-	-	2010-10-05 00:00:00-07:00
