38231	6986	es	Lewis Carroll	Las aventuras de Alicia en el pais de las maravillas (ilustrado por Salvador Dalí)	-	Novela	-	-	-	-	-	-	Salvador Dali	2018-09-18
32123	5200	es	Lewis Carroll	Alicia en el país de las maravillas (il. de Marta Gómez-Pintado)	-	Fantástico	-	-	-	-	-	-	Humpty Dumpty	1865-01-01T00:00:00+00:00
41103	5058	es	Lewis Carroll	El juego de la lógica	-	Ciencias exactas	-	-	-	-	-	-	Alfredo Deaño	1886-01-01T00:00:00+00:00
6954	2189	es	Lewis Carroll	La caza del snark	-	Fantástico	-	-	-	-	-	-	M. Frutos & X. Laborda	1876-01-01T00:00:00+00:00
37717	6219	es	Lewis Carroll	A través del espejo	-	Fantástico	-	-	-	-	-	-	Ramón Buckley	1871-01-01T00:00:00+00:00
175009	19702	es	Lewis Carroll	Silvia y Bruno	-	Fantástico	-	-	-	-	-	-	Axel Alonso Valle	1889-01-01T00:00:00+00:00
86616	11798	es	Lewis Carroll	Alicia en el país de las maravillas (trad. Luis Maristany)	-	Fantástico	-	-	-	-	-	-	Luis Maristany	1865-01-01T00:00:00+00:00
108564	13978	es	Lewis Carroll	Alicia anotada	-	Crítica y teoría literaria	-	-	-	-	-	-	Francisco Torres Oliver	2016-01-03
7789	2456	es	Lewis Carroll	Fantasmagoría	-	Fantástico	-	-	-	-	-	-	Javier La Orden Trimollet	1869-01-01T00:00:00+00:00
29054	5148	es	Lewis Carroll	Alicia en el País de las Maravillas (il. Rébecca Dautremer)	-	Fantástico	-	-	-	-	-	-	Elena Gallo Krahe	1865-01-01T00:00:00+00:00
242021	21413	es	Alejandro Muñoz-Alonso	La Rusia de los Zares	-	Historia	-	-	-	-	-	-	-	2007-01-01T00:00:00+00:00
362851	28958	es	John Dickie	Historia de la mafia: Cosa Nostra, Camorra y N'dranghetta desde sus orígenes hasta la actualidad	-	Ciencias sociales	-	-	-	-	-	-	Jaime Collyer	2016-02-18T23:00:00+00:00
149228	19566	es	John Dickie	Delizia!	-	Otros	-	-	-	-	-	-	Efrén del Valle Peñamil	2007-01-01T00:00:00+00:00
188842	18538	es	John Dickie	Cosa Nostra: Historia de la mafia siciliana	-	Historia	-	-	-	-	-	-	Francisco Ramos	2004-01-01T00:00:00+00:00
17473	4382	es	Silvia Zucca	El horóscopo de «Guía astrológica para corazones rotos»	-	Humor	-	-	-	-	-	-	-	2015-09-28T22:00:00+00:00
27027	4874	es	Gaston Bachelard	La llama de una vela	-	Crítica y teoría literaria	-	-	-	-	-	-	Hugo Gola	1961-01-01T00:00:00+00:00
86950	10896	es	Gaston Bachelard	La poética de la ensoñación	-	Filosofía	-	-	-	-	-	-	Ida Vitale	1960-01-01T00:00:00+00:00
49369	8554	es	W. E. Bowman	Hasta arriba	-	Aventuras	-	-	-	-	-	-	Julia Osuna	1956-01-01T00:00:00+00:00
45989	7355	es	W. E. Bowman	Al asalto del Khili-Khili	-	Novela	-	-	-	-	-	-	-	1956-12-31T23:00:00+00:00
28425	6283	es	P. J. O’Rourke	Cómo tener la casa como un cerdo	-	Humor	-	-	-	-	-	-	Blanca Peral	1987-01-01T00:00:00+00:00
87949	13785	es	P. J. O’Rourke	Alucinaciones de un reptil americano	-	Ciencias sociales	-	-	-	-	-	-	Ana Cuadrado & Peter Ross	1987-01-01T00:00:00+00:00
246608	26457	es	Walter Pernas	Comandante Facundo	-	Memorias	-	-	-	-	-	-	-	2013-01-01T00:00:00+00:00
114584	13630	es	Carol Shaben	Abismo	-	Aventuras	-	-	-	-	-	-	-	2012-08-09T22:00:00+00:00
33075	6860	es	Peter Barton	El planeta desconocido	-	Ciencia ficción	-	-	-	-	-	-	-	1955-12-31T23:00:00+00:00
35419	7077	es	Peter Barton	La incógnita de Marte	-	Ciencia ficción	-	-	-	-	-	-	-	1955-12-31T23:00:00+00:00
104659	12583	es	Eduardo Vaquerizo	Nos mienten	-	Ciencia ficción	-	-	-	-	-	-	-	2015-01-01T00:00:00+00:00
171810	19061	es	Eduardo Vaquerizo	Memoria de tinieblas	-	Ciencia ficción	-	-	-	-	-	-	-	2014-01-01T00:00:00+00:00
80240	12563	es	Eduardo Vaquerizo	La última noche de Hipatia	-	Ciencia ficción	-	-	-	-	-	-	-	2009-08-09T22:00:00+00:00
128404	16961	es	José C. Vales	Cabaret Biarritz	-	Policial	-	-	-	-	-	-	-	2015-01-01T00:00:00+00:00
165644	19464	es	José C. Vales	Celeste 65	-	Novela	PLANETA	-	-	-	-	-	-	2017-09-04T22:00:00+00:00
198171	17816	es	Kenneth Slawenski	J. D. Salinger. Una Vida Oculta	-	Otros	-	-	-	-	-	-	Jesús de Cos	2016-02-18T23:00:00+00:00
219833	17917	es	Ana Veloso	La fragancia de la flor de café	-	Histórico	-	-	-	-	-	-	-	2005-08-09T22:00:00+00:00
233352	21995	es	Carolyn Bain	Islandia 3ª Ed.	-	Referencia	-	© Editorial Planeta 2015	-	-	-	-	-	2015-10-21T22:00:00+00:00
121680	12514	es	José Milla	Los Nazarenos	-	Histórico	-	-	-	-	-	-	-	1867-01-01T00:00:00+00:00
119436	12919	es	José Milla	Historia de un Pepe	-	Histórico	-	-	-	-	-	-	Piolin	1887-01-01T00:00:00+00:00
72696	9648	es	José Milla	La hija del Adelantado	-	Aventuras	-	-	-	-	-	-	Piolin	2016-11-02
143589	13405	es	Gisela Pou	La voz invisible	-	Novela	-	-	-	-	-	-	-	2015-02-13T23:00:00+00:00
110100	14142	es	María Fagyas	La quinta mujer	-	Intriga	-	-	-	-	-	-	-	1962-12-31T23:00:00+00:00
64778	9640	es	R. A. MacAvoy	Té con el dragón negro	-	Fantástico	-	-	-	-	-	-	Javier Negrete & Juan Gómez	1983-01-01T00:00:00+00:00
42644	9373	es	David Langford	Guía del dragonstopista galáctico	-	Ciencia ficción	-	-	-	-	-	-	Albert Solé	1988-01-01T00:00:00+00:00
318860	27972	es	Alejandro Núñez Alonso	El lazo de púrpura	-	Histórico	-	-	-	-	-	-	-	1956-01-01T00:00:00+00:00
181231	19335	es	Alejandro Núñez Alonso	La reina desnuda	-	Histórico	-	-	-	-	-	-	-	1974-08-09T22:00:00+00:00
421135	31614	es	Alejandro Núñez Alonso	Semíramis - Sol de Babilonia	-	Histórico	-	-	-	-	-	-	-	1967-01-01T00:00:00+00:00
185007	20569	es	Alejandro Núñez Alonso	Estrella solitaria	-	Histórico	-	-	-	-	-	-	-	1973-01-01T00:00:00+00:00
105893	14626	es	Lucía Arca Sancho-Arroyo	Esplendor	-	Fantástico	-	-	-	-	-	-	-	2014-05-20T22:00:00+00:00
27890	6631	es	Lucía Arca Sancho-Arroyo	Heaven. El hilo rojo del destino	-	Romántico	-	-	-	-	-	-	-	2015-02-09T23:00:00+00:00
98795	13816	es	Lucía Arca Sancho-Arroyo	Oh my gothess	-	Romántico	-	-	-	-	-	-	-	2016-03-07T23:00:00+00:00
121697	15764	es	James Tiptree Jr.	En la cima del mundo	-	Ciencia ficción	-	-	-	-	-	-	-	1978-08-09T22:00:00+00:00
117940	17880	es	James Tiptree Jr.	A diez mil años luz	-	Ciencia ficción	-	-	-	-	-	-	-	2015-05-28T22:00:00+00:00
116947	16449	es	James Tiptree Jr.	Cantos estelares de un viejo primate	-	Ciencia ficción	-	-	-	-	-	-	-	1980-08-09T22:00:00+00:00
138191	20254	es	James Tiptree Jr.	¡Más cuentos de la Tiptree!	-	Ciencia ficción	-	-	-	-	-	-	-	1988-08-09T22:00:00+00:00
34245	6289	es	James Tiptree Jr.	El color de los ojos del Neanderthal	-	Ciencia ficción	-	-	-	-	-	-	-	1990-08-09T22:00:00+00:00
86098	13638	es	James Tiptree Jr.	Mundos cálidos y otros	-	Ciencia ficción	-	-	-	-	-	-	-	1975-01-01T00:00:00+00:00
114771	15982	es	G. G. Velasco	Lo que define a una llama	-	Fantástico	-	-	-	-	-	-	-	2018-07-16T22:00:00+00:00
11892	2782	es	Maya	Historias de mujer	-	Relato	-	-	-	-	-	-	-	2015-12-06T23:00:00+00:00
226443	20738	es	John Irving	El mundo según Garp	-	Drama	-	-	-	-	-	-	Iris Menéndez	1978-01-01T00:00:00+00:00
230403	18651	es	John Irving	Avenida de los Misterios	-	Drama	-	-	-	-	-	-	Carlos Milla Soler	2015-01-01T00:00:00+00:00
124672	13361	es	John Irving	La cuarta mano	-	Otros	-	-	-	-	-	-	Jordi Fibla	2001-01-01T00:00:00+00:00
211700	18059	es	John Irving	Personas como yo	-	Drama	-	-	-	-	-	-	Carlos Milla Soler	2012-01-01T00:00:00+00:00
271319	24092	es	John Irving	Las normas de la casa de la sidra	-	Novela	-	-	-	-	-	-	-	1984-12-31T23:00:00+00:00
47238	7294	es	John Irving	Mis líos con el cine	-	Comunicación	-	-	-	-	-	-	Jordi Fibla	1999-01-01T00:00:00+00:00
141560	18975	es	John Irving	La epopeya del bebedor de agua	-	Otros	-	-	-	-	-	-	Iris Menéndez	1972-01-01T00:00:00+00:00
385998	26318	es	John Irving	Hasta que te encuentre	-	Drama	-	-	-	-	-	-	Carlos Milla Soler	2016-09-02
272789	29960	es	John Irving	Oración por Owen	-	Drama	-	-	-	-	-	-	Iris Menéndez Sallés	2014-10-17
194442	19422	es	John Irving	El Hotel New Hampshire	-	Humor	-	-	-	-	-	-	Iris Menéndez	1981-01-01T00:00:00+00:00
254842	20315	es	John Irving	La última noche en Twisted River	-	Drama	-	-	-	-	-	-	Carlos Milla Soler	2009-01-01T00:00:00+00:00
263106	19986	es	John Irving	Una mujer difícil	-	Drama	-	-	-	-	-	-	Jordi Fibla	1998-01-01T00:00:00+00:00
124410	16743	es	Santiago González	Lágrimas socialdemócratas	-	Ciencias sociales	-	-	-	-	-	-	-	2011-08-09T22:00:00+00:00
32210	7282	es	Alejandro Álvarez Bernal	Cañón de retrocarga	-	Novela	-	-	-	-	-	-	-	1997-01-01T00:00:00+00:00
49889	7862	es	Jordi Llompart	Seres y estrellas	-	Divulgación	-	-	-	-	-	-	-	2000-08-09T22:00:00+00:00
9891	2669	es	Bernard Cornwell	Tristán e Isolda	-	Histórico	-	-	-	-	-	-	-	2016-03-13T23:00:00+00:00
162610	15765	es	Bernard Cornwell	Waterloo	-	Historia	-	-	-	-	-	-	Tomás Fernández & Beatriz Eguibar	2014-01-01T00:00:00+00:00
160208	14470	es	Bernard Cornwell	La fuga de Sharpe	-	Aventuras	-	-	-	-	-	-	Montse Batista	2004-01-01T00:00:00+00:00
145548	14572	es	Bernard Cornwell	Svein, el del caballo blanco	-	Histórico	-	-	-	-	-	-	Libertad Aguilera Ballester	2005-01-01T00:00:00+00:00
201095	16898	es	Bernard Cornwell	Stonehenge	-	Histórico	-	-	-	-	-	-	Eduardo Iriarte Goñi	1999-01-01T00:00:00+00:00
178246	18590	es	Bernard Cornwell	Copperhead	-	Bélico	-	-	-	-	-	-	Francisco Rodríguez de Lecea	1994-01-01T00:00:00+00:00
138574	14661	es	Bernard Cornwell	La batalla de Sharpe	-	Aventuras	-	-	-	-	-	-	Carlos Valdés	1995-01-01T00:00:00+00:00
163417	15823	es	Bernard Cornwell	La batalla del Grial	-	Histórico	-	-	-	-	-	-	Libertad Aguilera	2002-01-01T00:00:00+00:00
146688	14656	es	Bernard Cornwell	Guerreros de la tormenta	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2015-01-01T00:00:00+00:00
184378	17667	es	Bernard Cornwell	Casaca Roja	-	Histórico	-	-	-	-	-	-	Pedro Santamaría	1987-01-01T00:00:00+00:00
195401	19492	es	Bernard Cornwell	Excalibur	-	Histórico	-	-	-	-	-	-	Concepción Cardeñoso	1997-01-01T00:00:00+00:00
141070	13830	es	Bernard Cornwell	El Portador de la Llama	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2016-01-01T00:00:00+00:00
129982	13730	es	Bernard Cornwell	El trono vacante	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2014-01-01T00:00:00+00:00
155871	15691	es	Bernard Cornwell	Muerte de reyes	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2011-01-01T00:00:00+00:00
180376	17390	es	Bernard Cornwell	Azincourt	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2008-01-01T00:00:00+00:00
138607	14067	es	Bernard Cornwell	El sitio de Calais	-	Histórico	-	-	-	-	-	-	Libertad Aguilera	2003-01-01T00:00:00+00:00
138659	14207	es	Bernard Cornwell	Uhtred, el pagano	-	Histórico	-	-	-	-	-	-	Gregorio Cantera Chamorro	2013-01-01T00:00:00+00:00
209471	20941	es	Bernard Cornwell	El rey del invierno	-	Histórico	-	-	-	-	-	-	Concepción Cardeñoso	1995-01-01T00:00:00+00:00
152612	15035	es	Bernard Cornwell	1356	-	Histórico	-	-	-	-	-	-	Montse Batista	2012-01-01T00:00:00+00:00
107377	11266	es	Bernard Cornwell	Sharpe y el águila del imperio	-	Aventuras	-	-	-	-	-	-	Carmen Soler Rodríguez	1981-01-01T00:00:00+00:00
128039	13959	es	Bernard Cornwell	La venganza de Sharpe	-	Aventuras	-	-	-	-	-	-	Montse Batista	1989-01-01T00:00:00+00:00
140169	14652	es	Bernard Cornwell	Northumbria, el último reino	-	Histórico	-	-	-	-	-	-	Libertad Aguilera Ballester	2004-01-01T00:00:00+00:00
129658	13891	es	Bernard Cornwell	Los estragos de Sharpe	-	Aventuras	-	-	-	-	-	-	Carlos Valdés	2003-01-01T00:00:00+00:00
158501	15555	es	Bernard Cornwell	Arqueros del rey	-	Histórico	-	-	-	-	-	-	Libertad Aguilera	2000-01-01T00:00:00+00:00
136891	14852	es	Bernard Cornwell	La canción de la espada	-	Histórico	-	-	-	-	-	-	Montse Batista	2007-01-01T00:00:00+00:00
173965	17956	es	Bernard Cornwell	Rebelde	-	Bélico	-	-	-	-	-	-	Francisco Rodríguez de Lecea	1993-01-01T00:00:00+00:00
126623	13421	es	Bernard Cornwell	Los señores del norte	-	Histórico	-	-	-	-	-	-	Libertad Aguilera Ballester	2006-01-01T00:00:00+00:00
190865	19851	es	Bernard Cornwell	El enemigo de Dios	-	Histórico	-	-	-	-	-	-	Concepción Cardeñoso	1996-01-01T00:00:00+00:00
120593	13808	es	Bernard Cornwell	El ladrón de la horca	-	Histórico	-	-	-	-	-	-	Pere Muñoz Avellaneda	2018-04-03
169346	16778	es	Bernard Cornwell	El fuerte	-	Bélico	-	-	-	-	-	-	Carlos Valdés García	2010-01-01T00:00:00+00:00
155173	15822	es	Bernard Cornwell	La tierra en llamas	-	Histórico	-	-	-	-	-	-	Montse Batista	2009-01-01T00:00:00+00:00
135410	13743	es	Bernard Cornwell	La furia de Sharpe	-	Aventuras	-	-	-	-	-	-	Montse Batista	2006-01-01T00:00:00+00:00
164263	14965	es	Bernard Cornwell	Sharpe en Waterloo	-	Aventuras	-	-	-	-	-	-	Montse Batista	1990-01-01T00:00:00+00:00
142786	14358	es	Bernard Cornwell	Sharpe en Trafalgar	-	Aventuras	-	-	-	-	-	-	Montse Batista	2000-01-01T00:00:00+00:00
119790	12626	es	Allison Leotta	La ley de la atracción	-	Intriga	-	-	-	-	-	-	-	2015-02-05T23:00:00+00:00
24877	4832	es	Gerard Woren	Al poker se juega muriendo	-	Novela	-	-	-	-	-	-	-	1974-12-31T23:00:00+00:00
25748	5596	es	Gerard Woren	Bajo la piel de la noche	-	Novela	-	-	-	-	-	-	-	1993-12-31T23:00:00+00:00
81078	10281	es	Agnès Ledig	Justo antes de la felicidad	-	Realista	-	-	-	-	-	-	Isabel González-Gallarza Granizo	2013-01-01T00:00:00+00:00
78763	10051	es	Agnès Ledig	Lo único que importa	-	Realista	-	-	-	-	-	-	Teresa Clavel	2014-01-01T00:00:00+00:00
113707	13817	es	Nick Brooks	La buena muerte	-	Intriga	-	-	-	-	-	-	Victoria Horrillo Lesdesma	2006-01-01T00:00:00+00:00
212532	15718	es	Jodi Ellen Malpas	Obsesión	-	Erótico	-	-	-	-	-	-	Vicky Charques & Marisa Rodríguez	2013-01-01T00:00:00+00:00
146907	13265	es	Jodi Ellen Malpas	Una noche. Deseada	-	Erótico	-	-	-	-	-	-	Vicky Charques & Marisa Rodríguez	2014-01-01T00:00:00+00:00
41755	6397	es	Jodi Ellen Malpas	All I am: Drew's story	-	Romántico	-	-	-	-	-	-	-	2017-05-31T22:00:00+00:00
169562	14549	es	Jodi Ellen Malpas	Devoción	Erótico	Novela	-	-	-	-	-	-	-	2018-10-15T22:00:00+00:00
149572	13818	es	Jodi Ellen Malpas	Una noche. Enamorada	-	Erótico	-	-	-	-	-	-	Vicky Charques & Marisa Rodríguez	2015-01-01T00:00:00+00:00
152974	14211	es	Jodi Ellen Malpas	Una noche. Traicionada	-	Erótico	-	-	-	-	-	-	Vicky Charques & Marisa Rodríguez	2014-01-01T00:00:00+00:00
205490	16237	es	Jodi Ellen Malpas	Confesión	-	Erótico	-	-	-	-	-	-	Vicky Charques & Marisa Rodríguez	2013-01-01T00:00:00+00:00
110873	10695	es	Luis Herrera	El último inca	-	Novela	-	-	-	-	-	-	-	2015-03-22T23:00:00+00:00
254559	22333	es	Theodore Dreiser	El titán	-	Histórico	-	-	-	-	-	-	María José Martín Pinto	1914-01-01T00:00:00+00:00
239934	19491	es	Theodore Dreiser	El financiero	-	Histórico	-	-	-	-	-	-	María José Martín Pinto	1912-01-01T00:00:00+00:00
163848	16204	es	Theodore Dreiser	El estoico	-	Histórico	-	-	-	-	-	-	María José Martín Pinto	1947-01-01T00:00:00+00:00
361913	22393	es	Theodore Dreiser	Una tragedia americana	-	Drama	-	-	-	-	-	-	Mariano Orta Manzano	1925-01-01T00:00:00+00:00
55991	9600	es	Dani Guzmán	Máscaras de Carcosa	-	Fantástico	-	-	-	-	-	-	-	2016-05-20T22:00:00+00:00
138195	15630	es	Raquel de la Morena	El corazón de la banshee	-	Romántico	-	-	-	-	-	-	-	2018-04-22T22:00:00+00:00
73431	13023	es	Ana de Beraza Lavín	La península de las ballenas	-	Fantástico	-	-	-	-	-	-	-	2015-08-31T22:00:00+00:00
10190	3354	es	Ana de Beraza Lavín	El secreto de Lena	-	Novela	-	-	-	-	-	-	-	2017-10-20T22:00:00+00:00
82752	13369	es	Ana de Beraza Lavín	La tierra de laberintos	-	Fantástico	-	-	-	-	-	-	-	2016-04-21T22:00:00+00:00
37126	7696	es	Ana de Beraza Lavín	El misterio de la Isla Bemberg	-	Romántico	-	Todos los derechos reservados	-	-	-	-	-	2017-12-24T23:00:00+00:00
55839	8958	es	Alfons Mallol Garcia	Sirius 4	-	Ciencia ficción	-	Quedan reservados los derechos de reproducción y difusión total o parcial de esta obra por cualquier medio o procedimiento, así como el alquiler o cualquier otra forma de cesión de la obra sin la autorización previa y por escrito de los titulares del copyright.	-	-	-	-	-	2015-01-01T23:00:00+00:00
58481	9268	es	Alfons Mallol Garcia	El antiguo legado	-	Novela	-	Quedan reservados los derechos de reproducción y difusión total o parcial de esta obra por cualquier medio o procedimiento, así como el alquiler o cualquier otra forma de cesión de la obra sin la autorización previa y por escrito de los titulares del copyright.	-	-	-	-	-	2012-11-26T23:00:00+00:00
122500	15357	es	Alfons Mallol Garcia	La senda de Vesta	-	Ciencia ficción	-	Quedan reservados los derechos de reproducción y difusión total o parcial de esta obra por cualquier medio o procedimiento, así como el alquiler o cualquier otra forma de cesión de la obra sin la autorización previa y por escrito de los titulares del copyright.	-	-	-	-	-	2015-01-01T23:00:00+00:00
185273	23090	es	César Antonio Molina	Todo se arregla caminando	-	Divulgación	DESTINO	-	-	-	-	-	-	2016-03-06T23:00:00+00:00
267570	29416	es	César Antonio Molina	Lugares donde se calma el dolor	-	Viajes	-	-	-	-	-	-	-	2009-09-30T22:00:00+00:00
204707	24461	es	César Antonio Molina	Donde la eternidad envejece	-	Otros	-	-	-	-	-	-	-	2012-01-01T00:00:00+00:00
78566	10061	es	José Ignacio Velasco	Egipto eterno, 10000 a.C. - 2500 a.C.	-	Divulgación	-	-	-	-	-	-	-	2011-09-25T23:00:00+00:00
89488	10180	es	Ji-young Gong	Nuestros tiempos felices	-	Variada	-	-	-	-	-	-	-	2005-08-09T22:00:00+00:00
55471	8666	es	Eusebio Lahoz	Leer del revés	text	Realista	-	-	-	-	-	-	-	2005-01-31T23:00:00+00:00
25372	4628	es	Rett Johnson	Encuentro en las tinieblas	-	Novela	-	-	-	-	-	-	-	2008-12-31T23:00:00+00:00
80410	11531	es	Bruce Marshall	El obispo	-	Novela	-	-	-	-	-	-	-	1970-12-31T23:00:00+00:00
78120	11273	es	Bruce Marshall	El mundo, la carne y el Padre Smith	-	Drama	-	-	-	-	-	-	-	1960-01-01T00:00:00+00:00
44482	8581	es	Jorge Vesterra	¡Yo soy tu padre!	-	Novela	-	-	-	-	-	-	-	2014-03-05T23:00:00+00:00
122390	13158	es	Sharon Griffiths	Pasado imperfecto	-	Romántico	-	-	-	-	-	-	-	2009-08-09T22:00:00+00:00
51946	6904	es	Ettore Croce	Al final de este viaje	-	Bélico	-	-	-	-	-	-	-	2017-07-30T22:00:00+00:00
53080	6102	es	Ettore Croce	Atrapada	-	Novela	-	-	-	-	-	-	-	2018-07-09T22:00:00+00:00
28482	5050	es	Florence Savary	Inglés de la calle para Dummies	-	Idiomas	-	-	-	-	-	-	-	2014-04-02T23:00:00+00:00
76120	9597	es	Félix Díaz González	Tras la lluvia	-	Fantástico	-	-	-	-	-	-	-	2017-06-09T22:00:00+00:00
100487	12961	es	Francine Mathews	Alibi Club	-	Intriga	-	-	-	-	-	-	-	2008-08-09T22:00:00+00:00
157251	16561	es	Kate Eberlen	Quererte no es sólo cuestión de suerte	-	Novela	-	-	-	-	-	-	-	2017-01-30T23:00:00+00:00
79317	10755	es	Angélica Dossetti	A la sombra del Terevaka	-	Narrativa	-	-	-	-	-	-	-	2012-12-01T06:00:00+00:00
62228	4359	es	USA Waterpolo	Manual del árbitro de waterpolo	-	Deportes y juegos	-	-	-	-	-	-	Real Federación Española de Natación RFEN	2008-01-01T00:00:00+00:00
164769	15459	es	Lynne McTaggart	Lo que los médicos no nos dicen	-	Ciencias naturales	-	-	-	-	-	-	Dolors Camprubí	2005-09-30T22:00:00+00:00
59089	11704	es	Ignacio Peyró	Comimos y bebimos	-	Memorias	Libros del Asteroide	-	-	-	-	-	-	2018-10-14T22:00:00+00:00
91201	13163	es	Raymond Cartier	Pedro el Grande	-	Divulgación	-	-	-	-	-	-	-	1973-12-31T23:00:00+00:00
223856	18909	es	Kim Harrison	Por un puñado de hechizos	-	Fantástico	-	-	-	-	-	-	Carles Muñoz Miralles	2010-01-01T00:00:00+00:00
218658	18117	es	Kim Harrison	Fuera de la ley	-	Fantástico	-	-	-	-	-	-	Ana María Andreu Baquero	2008-01-01T00:00:00+00:00
211462	17148	es	Kim Harrison	Por unos demonios más	-	Fantástico	-	-	-	-	-	-	Laura Rodríguez Gómez	2007-01-01T00:00:00+00:00
243322	19184	es	Kim Harrison	Bruja blanca, magia negra	-	Fantástico	-	-	-	-	-	-	Ana María Andreu Baquero	2009-01-01T00:00:00+00:00
201024	17577	es	Kim Harrison	Antes bruja que muerta	-	Fantástico	-	-	-	-	-	-	Javier Fernández Córdoba	2010-01-01T00:00:00+00:00
158368	16816	es	Kim Harrison	Bruja mala nunca muere	-	Fantástico	-	-	-	-	-	-	Elena Castillo Maqueda	2009-01-01T00:00:00+00:00
173568	16962	es	Kim Harrison	El bueno, el feo y la bruja	-	Fantástico	-	-	-	-	-	-	Elena Castillo Maqueda	2009-01-01T00:00:00+00:00
47908	7625	es	Pascal Ibiza	Hasta nunca, timidez	-	Autoayuda	-	-	-	-	-	-	-	2013-12-01T22:00:00+00:00
100407	10534	es	José Segovia	El testamento del prior	-	Histórico	-	-	-	-	-	-	-	2013-10-09T22:00:00+00:00
66069	12718	es	Félix Urabayen	El barrio maldito	-	Drama	-	-	-	-	-	-	-	1926-01-01T00:00:00+00:00
116667	15392	es	Caridad Puig	Dual	-	Intriga	-	-	-	-	-	-	-	2013-08-09T22:00:00+00:00
65009	8115	es	Javier Bernad	Alto y claro	-	Comunicación	-	© LID Editorial	-	-	-	-	-	2014-06-11T22:00:00+00:00
109606	13394	es	Gyles Brandreth	Oscar Wilde y una muerte sin importancia	-	Intriga	-	-	-	-	-	-	Alejandro Palomas	2007-01-01T00:00:00+00:00
30613	5971	es	Gyles Brandreth	Juegos con números	-	Ciencias exactas	-	-	-	-	-	-	-	2018-11-06T23:00:00+00:00
126832	14571	es	Gyles Brandreth	Oscar Wilde y el club de la muerte	-	Intriga	-	-	-	-	-	-	Alejandro Palomas	2008-01-01T00:00:00+00:00
118661	14073	es	Gyles Brandreth	Oscar Wilde y la sonrisa del muerto	-	Intriga	-	-	-	-	-	-	Alejandro Palomas	2009-01-01T00:00:00+00:00
135637	16633	es	Luis Rodríguez Bausá	Toledo insólito	-	Arte	-	-	-	-	-	-	-	2003-01-01T00:00:00+00:00
117235	13207	es	Benjamin Blech	Los secretos de la capilla Sixtina	-	Arte	-	-	-	-	-	-	Isabel Murillo	2008-01-01T00:00:00+00:00
135007	11441	es	Merlin Holland	El marqués y el sodomita	-	Memorias	-	-	-	-	-	-	Damiá Alou	2003-01-01T00:00:00+00:00
58041	8772	es	Manuel Aquino	Quisqueya bella y el almirante	-	Novela	-	-	-	-	-	-	-	2015-12-24T23:00:00+00:00
157513	15407	es	Adam Fawer	El teorema	-	Intriga	-	-	-	-	-	-	Alberto Coscarelli	2005-01-01T00:00:00+00:00
121238	16263	es	Francis Spufford	Golden Hill	-	Aventuras	-	-	-	-	-	-	Patricia Antón de Vez	2016-01-01T00:00:00+00:00
72449	11594	es	Nan Lyons	Están matando a los grandes chefs	-	Intriga	-	-	-	-	-	-	-	1976-08-09T22:00:00+00:00
197042	17055	es	Hugh Howey	Espejismo	-	Ciencia ficción	-	-	-	-	-	-	Manuel Mata Álvarez-Santullano	2012-01-01T00:00:00+00:00
143031	13736	es	Hugh Howey	Vestigios	-	Ciencia ficción	-	-	-	-	-	-	Manuel Mata Álvarez-Santullano	2013-01-01T00:00:00+00:00
190118	16409	es	Hugh Howey	Desolación	-	Ciencia ficción	-	-	-	-	-	-	Manuel Mata	2012-01-01T00:00:00+00:00
96664	13209	es	Rosella Postorino	La catadora	-	Novela	-	-	-	-	-	-	-	2018-10-17T22:00:00+00:00
84002	12800	es	Ana Fuentes	Hablan los chinos	-	Ciencias sociales	-	-	-	-	-	-	-	2012-09-25T23:00:00+00:00
119929	14090	es	Gabriel Kuntze	El Panteón de los Inmortales. Libro 2: Varanech, Doncella de los Demonios	-	Fantástico	-	-	-	-	-	-	Julián Emanuel Quintana	2017-01-01T00:00:00+00:00
135986	15508	es	Gabriel Kuntze	El Panteón de los Inmortales. Libro 1: Hijo del Hielo	-	Fantástico	-	-	-	-	-	-	Julieta Riva	2014-01-01T00:00:00+00:00
70676	9290	es	Uriel Costa	El viaje de Jon	-	Novela	-	-	-	-	-	-	-	2013-11-24T23:00:00+00:00
38344	5820	es	José María Firpo	¡Qué porquería es el glóbulo!	-	Juvenil	-	-	-	-	-	-	-	1976-08-09T22:00:00+00:00
52664	9130	es	Leonardo Moledo	Curiosidades del planeta Tierra	-	Ciencias naturales	-	-	-	-	-	-	-	1997-01-01T00:00:00+00:00
79114	12015	es	Leonardo Moledo	Verídico informe sobre la ciudad de Bree	-	Fantástico	-	-	-	-	-	-	-	1985-01-01T00:00:00+00:00
352927	28332	es	Leonardo Moledo	Historia de las ideas científicas	-	Ciencias naturales	-	-	-	-	-	-	Diego Alterleib	2014-01-01T00:00:00+00:00
93531	11583	es	Josep Camps	Melodía quebrada	-	Policial	-	-	-	-	-	-	-	2014-01-01T00:00:00+00:00
