3632	1289	es-ES	Florencio Moreno Godino	¡Se parece a Voltaire!	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001496173&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13592	-	Pablo Barrio Aller	2015-01-23T00:00:00+00:00
4294	1499	es-ES	Florencio Moreno Godino	El jaique	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001518534	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14184	-	Pablo Barrio Aller	2016-05-30T00:00:00+00:00
5968	1866	es-ES	Florencio Moreno Godino	La lotería	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001502029	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13709	-	Pablo Barrio Aller	2016-12-22T00:00:00+00:00
2881	1131	es-ES	Florencio Moreno Godino	El maestro triste	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001479682	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13348	-	Pablo Barrio Aller	2015-07-30T00:00:00+00:00
3551	1271	es-ES	Florencio Moreno Godino	Los nervios	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001494494&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13973	-	Pablo Barrio Aller	2012-04-19T00:00:00+00:00
3866	1408	es-ES	Florencio Moreno Godino	El hada de la fuente	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001474471	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13499	-	Pablo Barrio Aller	2015-10-15T00:00:00+00:00
2625	1065	es-ES	Florencio Moreno Godino	El poeta y la pastora	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001526750	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13463	-	Pablo Barrio Aller	2016-11-25T00:00:00+00:00
2402	937	es-ES	Florencio Moreno Godino	El Laberinto del amor	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001491239	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14187	-	Pablo Barrio Aller	2015-11-18T00:00:00+00:00
3339	1159	es-ES	Florencio Moreno Godino	El clown lúgubre	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001494128&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14046	-	Pablo Barrio Aller	2014-02-12T00:00:00+00:00
4150	1439	es-ES	Florencio Moreno Godino	Los pantalones	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001499226	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13654	-	Pablo Barrio Aller	2016-01-19T00:00:00+00:00
2089	847	es-ES	Torcuato Tárrago y Mateos	Las veladas de San Juan	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003440097	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13707	-	Pablo Barrio Aller	2016-06-23T00:00:00+00:00
2987	1098	es-ES	Torcuato Tárrago y Mateos	Un fraile y un arquitecto	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003449840	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14071	-	Pablo Barrio Aller	2016-12-05T00:00:00+00:00
2679	1034	es-ES	Torcuato Tárrago y Mateos	¡Eulalia!	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003453758	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14388	-	Pablo Barrio Aller	2016-06-03T00:00:00+00:00
3094	1105	es-ES	Torcuato Tárrago y Mateos	Aventuras de un rey	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003449770	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13859	-	Pablo Barrio Aller	2016-07-12T00:00:00+00:00
3132	1068	es-ES	Torcuato Tárrago y Mateos	El hombre del levitón	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003451821	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13947	-	Pablo Barrio Aller	2016-04-08T00:00:00+00:00
2733	994	es-ES	Torcuato Tárrago y Mateos	El tulipán negro	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003526447	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13693	-	Pablo Barrio Aller	2016-05-18T00:00:00+00:00
3020	1121	es-ES	Torcuato Tárrago y Mateos	El marqués de las tres estrellas	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003454700	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13773	-	Pablo Barrio Aller	2017-06-02T00:00:00+00:00
3269	1131	es-ES	Torcuato Tárrago y Mateos	El arco celeste	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003449743	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13265	-	Pablo Barrio Aller	2016-09-29T00:00:00+00:00
2112	931	es-ES	José Fernández Bremón	Los microbios	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001225192	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13987	-	Pablo Barrio Aller	2017-05-30T00:00:00+00:00
2389	1027	es-ES	José Fernández Bremón	El dios Obstáculo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001224099	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13865	-	Pablo Barrio Aller	2017-05-19T00:00:00+00:00
2542	966	es-ES	José Fernández Bremón	El romance del astrólogo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001223933	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13734	-	Pablo Barrio Aller	2017-07-25T00:00:00+00:00
57406	7971	es-ES	Joseph Campbell	Tú eres eso	-	Espiritualidad	-	-	-	-	-	-	-	2001-01-19T23:00:00+00:00
52181	7092	es-ES	Dawn Atkins	Alto, moreno y atractivo	-	Romántico	-	-	-	-	-	-	-	2015-02-28T23:00:00+00:00
40747	5344	es-ES	Jules Bennett	Besos de película	-	Novela	-	-	-	-	-	-	-	2016-07-24T22:00:00+00:00
43827	5750	es-ES	Jules Bennett	Los opuestos se atraen	-	Novela	-	-	-	-	-	-	-	2013-12-31T23:00:00+00:00
42051	5117	es-ES	Jules Bennett	Escuchando al corazón	-	Romántico	-	-	-	-	-	-	-	2015-04-14T22:00:00+00:00
112885	13075	es-ES	Begoña Gambín	Tú alteras mi mundo	-	Novela	-	Penguin Random House Grupo Editorial	-	-	-	-	-	2018-06-11T11:35:16+00:00
43551	6778	es-ES	Barbara Dunlop	Otra mujer	-	Romántico	-	-	-	-	-	-	-	2000-12-31T23:00:00+00:00
43464	6959	es-ES	Barbara Dunlop	Ilusión rota	-	Romántico	-	-	-	-	-	-	MT Color & Diseño S.L.	2016-02-13T23:00:00+00:00
37116	4909	es-ES	Kathryn Ross	Con todo su corazón	-	Romántico	-	-	-	-	-	-	-	2017-05-16T22:00:00+00:00
58086	8248	es-ES	Sara Rattaro	Alguien como tú	text	Novela	-	© 2013 por Sara Rattaro	-	-	-	EPUB	Agustí Estruga	2015-02-04T23:00:00+00:00
4242	1529	es-ES	Vicente Colorado	Elías Recio	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001484227	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13451	-	Pablo Barrio Aller	2016-04-22T00:00:00+00:00
2404	963	es-ES	Vicente Colorado	El capitán Martínez	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004031141	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14236	-	Pablo Barrio Aller	2016-02-02T00:00:00+00:00
4657	1583	es-ES	Vicente Colorado	Después de muerto	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001475041	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14186	-	Pablo Barrio Aller	2016-06-02T00:00:00+00:00
4349	1520	es-ES	Vicente Colorado	La buenaventura	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001476174	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13305	-	Pablo Barrio Aller	2016-11-29T00:00:00+00:00
2305	943	es-ES	Vicente Colorado	El hombre espejo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0000610252	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13896	-	Pablo Barrio Aller	2015-11-27T00:00:00+00:00
1555	686	es-ES	Vicente Colorado	El clown	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004033571	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14145	-	Pablo Barrio Aller	2016-07-08T00:00:00+00:00
1165	507	es-ES	Vicente Colorado	El desierto	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001478312	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13476	-	Pablo Barrio Aller	2015-12-11T00:00:00+00:00
3868	1267	es-ES	Vicente Colorado	La trasmigración del amor	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001481153	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14119	-	Pablo Barrio Aller	2017-03-24T00:00:00+00:00
1613	670	es-ES	Tomás Carretero	Antes del sorteo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004018970	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13471	-	Pablo Barrio Aller	2016-12-21T00:00:00+00:00
1564	704	es-ES	Tomás Carretero	Cuento a la moda antigua	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004014716	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14011	-	Pablo Barrio Aller	2017-09-06T00:00:00+00:00
932	434	es-ES	Tomás Carretero	El beso	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004024091	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13300	-	Pablo Barrio Aller	2016-07-29T00:00:00+00:00
1167	525	es-ES	Tomás Carretero	El niño enfermo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004021079	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14215	-	Pablo Barrio Aller	2016-11-15T00:00:00+00:00
1521	665	es-ES	Tomás Carretero	El desterrado	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004009779	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13682	-	Pablo Barrio Aller	2016-10-08T00:00:00+00:00
1185	549	es-ES	Tomás Carretero	De las memorias de Juan Gandul	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0004021131	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13436	-	Pablo Barrio Aller	2017-05-09T00:00:00+00:00
