42348	12637	ar	هربرت جورج ويلز	جزيرة الدكتور مورو	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:33b787ed-bc59-40d3-bd00-260b50a979f2	-	-	٢٠١٣
2936	1412	ar	كامل كيلاني	ذات الجناحين	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:c8b19d04-be43-45c4-9a10-c3ca07d98b31	-	-	٢٠١١
6361	3846	ar	أحمد زكي أبو شادي	زينب	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:f7a5c29b-a15b-4283-8f68-ceb56b864050	-	-	٢٠١٩
84414	29284	ar	عبد الوهاب عزام	الشوارد	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:9fb5fc9e-b5b4-4d69-970a-c7c9faab163c	-	-	٢٠١٤
66455	19912	ar	مايكل ديفيد لوكاس	عرَّافة إسطنبول	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:fab5f3bc-6492-4b74-98dd-0e7f076d7b79	-	-	٢٠١٦
144130	32140	ar	تشارلز باسترناك	جوهرُ الإنسانية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:4ca96dfb-d833-4fc5-9c5a-961cd88c7961	-	-	٢٠١٨
57004	15119	ar	جُرجي زيدان	شجرة الدر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:4b7ac8c4-3557-4595-9534-631227d14b8c	-	-	٢٠١١
10740	4615	ar	جول فيرن	السيد زخاريوس	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:250c3cc6-733a-468b-af63-5a5b3974b085	-	-	٢٠١٨
38323	14320	ar	محمد ثابت	جولة في ربوع أوروبا	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:1f804c4a-ecad-4284-9a33-f8fe642efd19	-	-	٢٠١٤
45787	13636	ar	فيليب بول	الجزيئات	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:f640f671-4130-493d-9efd-60e5db15d0b1	-	-	٢٠١٦
34155	10310	ar	إريك شيري	الجدول الدوري	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:4934be96-f72a-435c-a073-103052461cbc	-	-	٢٠١٦
3455	2214	ar	جبران خليل جبران	آلهة الأرض	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:76f9af04-d0ba-451a-8754-6fdbcd1cf301	-	-	٢٠١٨
2936	1664	ar	كامل كيلانى	الدَّجاجَةُ الصَّغِيرَةُ الْحَمْراءُ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:e79030d6-1397-4946-81ae-537bd92b69ea	-	-	٢٠١١
11653	5295	ar	نجيب الحداد	الرجاء بعد اليأس	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:5c4e677f-1c83-4ecb-a5f4-26985a20b451	-	-	٢٠١٤
44324	16493	ar	يوسف إدريس	مدينة الملائكة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:d9f19a3c-364d-4bef-8ffc-9da764e486c1	-	-	٢٠١٩
39230	11084	ar	نقولا رزق الله	أبو السعود	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:44bf6264-3451-4d54-9d51-a734ed7595bf	-	-	٢٠١٥
19625	9697	ar	عبد الرحمن البرقوقي	الفردوس	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:0fd2b934-eec1-487f-bffe-675a564d4ee3	-	-	٢٠١٦
52439	19243	ar	أمين الريحاني	قلب العراق رحلات وتاريخ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:a4857cf8-3c70-4bea-8125-ded4859efc71	-	-	٢٠١٥
38572	11108	ar	برايان تشارلزوورث وديبورا تشارلزوورث	التطوُّر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:ad5be2df-ed1d-418f-82f9-dd3174a92fe9	-	-	٢٠١٦
170255	56102	ar	إميل لودفيغ	النيل	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:4c22864e-c3a9-4e0d-b223-7ef29fea7550	-	-	٢٠١٨
8849	3802	ar	روبرت بار	لغز الماسات الخمسمائة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:9693e5f7-3e98-49ba-856b-a451953d7482	-	-	٢٠١٨
29347	11493	ar	يمنى طريف الخولي	بحوث في تاريخ العلوم عند العرب	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:093c7131-3ca2-4f54-8715-620ffb36d97c	-	-	٢٠١٨
2600	1305	ar	كامل كيلاني	اللِّحيَةُ الزَّرْقَاءُ	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:549e9696-1b35-4937-8f5b-5ad035646b6a	-	-	٢٠١١
80114	23828	ar	لويس سيديو	خلاصة تاريخ العرب	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:459a86e1-80db-4d13-9444-8fdd6da7fe38	-	-	٢٠١٧
27491	10916	ar	عبد الله حسين	التصوف والمتصوِّفة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:9d9b10ae-a0d3-46df-a63f-999a8d6751ff	-	-	٢٠١٧
16790	7095	ar	دانيال ديفو	روبنسون كروزو	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:80ee5599-3be0-441d-8095-a976711da77b	-	-	٢٠١٣
73390	19357	ar	زكي محمد حسن	الكنوز الفاطمية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:43e41c98-4ccc-48a4-8e00-4eb0627383f4	-	-	٢٠١٤
22670	11103	ar	صالح مجدي	المقالات الأدبية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:2c092225-8a94-4206-b249-74b45e0aee45	-	-	٢٠١٦
2105	1355	ar	إدوارد بيدج ميتشل	العودة من العالم الآخر	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:4eb5ce4c-ab2c-403a-903c-8d5553a84722	-	-	٢٠١٩
78707	20918	ar	عباس محمود العقاد	الله	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:229bcfc8-42ce-4904-9051-82bb4b16160c	-	-	٢٠١٦
83467	20930	ar	سوزان سكوت وكريستوفر دنكان	عودة الموت الأسود	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:82b04a18-39a2-4d18-b7c8-4d667ad75fc5	-	-	٢٠١٧
2507	1511	ar	كامل كيلاني	السَّعيدُ حَسَن	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:426b88f0-be3b-4421-98dc-11ac55d35dc0	-	-	٢٠١١
96451	24394	ar	سكيب داين يونج	السينما وعلم النفس	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:79f04698-8544-413b-9b89-9b66ab06cc6f	-	-	٢٠١٥
18703	8261	ar	أنطون الجميِّل	السموأل	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:c7848a90-bdc7-4a44-92c2-235dfd2a8bf6	-	-	٢٠١٤
9590	3764	ar	محمد لطفي جمعة	محاضرات في تاريخ المبادئ الاقتصادية والنظامات الأوروبية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:1caf8e3c-0b7b-40f0-9c5c-6a02f49a8cda	-	-	٢٠١٤
18582	8717	ar	سعيد تقي الدين	موجة نار	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:e51fc5c0-97e5-4535-8a29-f8fa17a95565	-	-	٢٠١٧
2954	1708	ar	هربرت جورج ويلز	التفاحة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:8cdf3005-117e-4f24-8ea6-3f060024cbff	-	-	٢٠١٨
62148	16748	ar	تيم هالوران	أسرار التعلق بالعلامات التجارية	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:cdc8d245-7458-49ef-975b-6258fd964885	-	-	٢٠١٧
177063	27957	ar	سليم حسن	موسوعة مصر القديمة (الجزء الحادي عشر)	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:c9cdcd97-53e0-41ff-932c-b5a368829f55	-	-	٢٠١٨
70213	19391	ar	جُرجي زيدان	فتح الأندلس	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:27aef4f9-66ac-4bbf-a00e-97f0277b6e57	-	-	٢٠١٧
123650	30579	ar	لوري ماجواير	هيلين طروادة	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	الناشر مؤسسة هنداوي سي آي سي	urn:uuid:aff6b007-6d64-4484-9f13-a4955defa6e6	-	-	٢٠١٨
30573	7238	ar	راسل ستانارد	النسبية‏	-	-	-	Copyright 2011 Hindawi Publishing Corporation. All rights reserved.	-	مؤسسة هنداوي للتعليم والثقافة	urn:uuid:0fde524f-06fb-4bb1-82fa-bba23f17d0e0	-	-	٢٠١٤
