364	210	es	Geronimo Stilton	Un disparatado viaje a Ratikistán	-	Aventuras	-	-	-	-	-	-	Manuel Manzano	2003-01-01T00:00:00+00:00
37	27	es	Geronimo Stilton	El libro de los juegos de viaje	-	Aventuras	-	-	-	-	-	-	-	2008-06-01T22:00:00+00:00
31	27	es	Geronimo Stilton	El misterio del tesoro desaparecido	-	Intriga	-	-	-	-	-	-	-	2004-06-01T22:00:00+00:00
36	29	es	Geronimo Stilton	El misterio del ojo esmeralda	-	Intriga	-	-	-	-	-	-	-	2008-06-01T22:00:00+00:00
0	0	es	Geronimo Stilton	Séptimo viaje al Reino de la Fantasía	-	Infantil	-	-	-	-	-	-	-	2012-10-15T22:00:00+00:00
55	46	es	Geronimo Stilton	¡Salvemos a la ballena blanca!	-	Aventuras	-	-	-	-	-	-	-	2010-06-01T22:00:00+00:00
0	0	es	Geronimo Stilton	Octavo viaje al Reino de la Fantasía	-	Infantil	-	-	-	-	-	-	-	2013-10-25T22:00:00+00:00
52	42	es	Geronimo Stilton	Dinosaurios en acción	-	Aventuras	-	-	-	-	-	-	-	2011-06-01T22:00:00+00:00
145	92	es	Geronimo Stilton	Cuatro ratones en la Selva Negra	-	Aventuras	-	-	-	-	-	-	-	2004-06-01T22:00:00+00:00
396	228	es	Geronimo Stilton	En busca de la maravilla perdida	-	Aventuras	-	-	-	-	-	-	Manuel Manzano	2003-01-01T00:00:00+00:00
0	0	es	Geronimo Stilton	En el Reino de la Fantasia	-	Infantil	-	-	-	-	-	-	-	2005-11-03T23:00:00+00:00
47	37	es	Geronimo Stilton	El extraño caso de la noche de Halloween	-	Aventuras	-	-	-	-	-	-	-	2012-06-01T22:00:00+00:00
407	228	es	Geronimo Stilton	El castillo de Roca Tacaña	-	Aventuras	-	-	-	-	-	-	Manuel Manzano	2003-01-01T00:00:00+00:00
3965	1509	es	Geronimo Stilton	Un maravilloso mundo para Oliver	-	Aventuras	-	-	-	-	-	-	-	2016-12-16T23:00:00+00:00
67	52	es	Geronimo Stilton	El misterioso caso de los Juegos Olímpicos	-	Aventuras	-	-	-	-	-	-	-	2012-06-01T22:00:00+00:00
62	51	es	Geronimo Stilton	La era glacial	-	Aventuras	-	-	-	-	-	-	-	2010-06-01T22:00:00+00:00
58	45	es	Geronimo Stilton	¿Querías vacaciones, Stilton?	-	Aventuras	-	-	-	-	-	-	-	2005-06-01T22:00:00+00:00
64	52	es	Geronimo Stilton	El misterio de la torre Eiffel	-	Aventuras	-	-	-	-	-	-	-	2013-06-01T22:00:00+00:00
0	0	es	Geronimo Stilton	Sexto viaje al Reino de la Fantasía	-	Infantil	-	-	-	-	-	-	-	2011-10-17T22:00:00+00:00
0	0	es	Geronimo Stilton	La vuelta al mundo en 80 días	-	Infantil	-	-	-	-	-	-	-	2013-02-21T23:00:00+00:00
