124826	12838	fr	Hugo Victor	Les Misérables Tome II	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004373	epub	-	2014
21407	3044	fr	Molière	Les Femmes savantes	-	Essai	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004298	epub	-	2014
152379	11876	fr	Zola Emile	Le Docteur Pascal	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335005011	epub	-	2015
27482	3366	fr	Molière	L’Avare	-	Littérature, Théâtre	-	Copyright © 2012 Ilivri	-	ILIVRI	9782335000177	epub	-	2012
39503	5075	fr	Stendhal	Féder	-	Romans	-	Copyright © 2014-05-15 Ilivri	-	ILIVRI	9782335003956	epub	Henri Beyle	2014-05-15
74480	9532	fr	Leconte de Lisle, Charles	Poèmes barbares	-	-	-	Copyright © 2015 Ilivri	-	ILIVRI	9782335007558	epub	-	2015
86506	9460	fr	Loti, Pierre	Les Derniers Jours de Pékin	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335007763	epub	-	2014
336593	16839	fr	Rousseau, Jean-Jacques	Les Confessions	-	Moderne (<1799)	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335003819	epub	-	2014
39726	6913	fr	Gustave Flaubert	Trois contes	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335002379	epub	-	2014
19993	2993	fr	Corneille Pierre	Cinna ou la Clémence d’Auguste	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004571	epub	-	2014
54901	8671	fr	Verlaine Paul	Œuvres complètes Tome II	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335004359	epub	-	2014
110648	11130	fr	Ringuet	Trente arpents	-	-	-	-	-	La Bibliothèque électronique du Québec	urn:uuid:A22E6209-6C36-1014-8890-DC4307F90961	-	-	2014-11-09T15:18:35Z
83452	8394	fr	Anonyme	Le Roman de Renart	-	-	-	Copyright © 2014 Ilivri	-	ILIVRI	9782335002034	epub	-	2014
75894	8885	fr	Inconnu(e)	Histoire du Canada (1944) 6	-	-	-	-	-	-	urn:uuid:EAC0C0F9-6C6E-1014-A496-846917F1ABCA	-	-	2013-04-30T20:24:47Z
