103474	8597	empty	ANITA SHREVE	A Change in Altitude	-	FIC000000	-	Copyright © 2009 by Anita Shreve	-	Little, Brown and Company	9780316071741	-	-	2009-09-22
35176	7164	empty	Jon Stewart	Naked Pictures of Famous People	-	Comedy Writing; Humor	-	-	-	Perennial	9780688171629	-	-	-
51784	6383	empty	Elie Wiesel	The Sonderberg Case	-	-	-	Copyright © 2010 by Catherine Temerson	-	Knopf Doubleday Publishing Group	978-0-307-59382-5	-	-	2010-01-01
105732	8919	empty	Carrie Vaughn	Discord’s Apple	Text	-	URN:ISBN:978-1-4299-9224-4	All rights reserved	-	Tom Doherty Associates	e6f3ddfa-666d-4e48-a235-ec00d2ea7ea6	229 pages	-	2010-08-01 00:00:00-05:00
107705	11188	empty	John Grogan	Marley & Me	-	-	-	© 2005 by John Grogan	-	HarperCollins	9780061793554	-	-	2005
182235	14943	empty	Gail Godwin	Unfinished Desires	-	-	-	Copyright © 2009 by Gail Godwin	-	Random House Publishing Group	978-1-58836-912-3	-	-	2009-01-01
73899	6497	empty	Scott Lasser	The Year That Follows	-	-	-	Copyright © 2009 by Scott Lasser	-	Knopf Doubleday Publishing Group	978-0-307-27231-7	-	-	2009-01-01
239200	11092	empty	Andrew Schloss	Mastering the Grill	-	-	-	All rights reserved	-	Chronicle Books	b9a70d89-45c0-424f-ba42-937d7f5967ac	-	-	2007-01-01
69468	5659	empty	Robert B. Parker	Cold Service	-	-	-	-	-	-	959d0f7c-649f-438c-a00f-23b0a97a40a3	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
72515	5801	empty	Robert B. Parker	School Days	-	-	-	-	-	-	c2ce0677-c547-46a5-af23-c11fb93a5468	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
70787	6014	empty	Robert B. Parker	Now and Then	-	-	-	-	-	-	e75798f5-97fd-4ac1-8f46-89058796a2fe	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
69253	6173	empty	Robert B. Parker	Rough Weather	-	-	-	NONE	-	PENGUIN group	12ab912e-8a7c-4b10-ad37-ca4728f290fd	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
69738	5476	empty	Robert B. Parker	The Professional	-	-	-	-	-	PENGUIN group	4ccb6812-a9a5-4aba-b54d-fa6f39699051	-	calibre (0.6.54) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
32049	2963	empty	Robert B. Parker	Chasing the Bear	-	-	-	NONE	-	Penguin USA, Inc.	5d736868-297f-44b0-8eab-e292635a1073	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
67633	5301	empty	Robert B. Parker	Hundred Dollar Baby	-	-	-	-	-	-	6274ab67-f4a8-4b00-8243-d3bb642fd0b0	-	calibre (0.6.51) [http://calibre-ebook.com]	2010-05-26 00:00:00+01:00
83400	8520	empty	Kurt Vonnegut	Look at the Birdie	-	-	-	Copyright © 2009 by The Kurt Vonnegut, Jr., Trust	-	Random House Publishing Group	978-0-440-33877-2	-	-	2009-01-01
8372	2368	empty	Kurt Vonnegut	The Petrified Ants	-	-	-	Copyright © 2009 by The Kurt Vonnegut, Jr.	-	Random House Publishing Group	978-0-440-33939-7	-	-	2009-01-01
114359	8485	empty	Evie Wyld	After the Fire, A Still Small Voice	-	-	-	-	-	Random House Group Limited	-	-	-	8/13/2009
118400	12238	empty	Christopher Fowler	On the Loose	-	-	-	Copyright © 2009 by Christopher Fowler	-	Random House Publishing Group	978-0-553-90715-5	-	-	2009-01-01
91361	11349	empty	Marc Bekoff	The Animal Manifesto	Text	-	-	-	-	New World Library	978-1-57731-649-7	-	-	-
123270	11618	empty	Adam Schell	Tomato Rhapsody	-	-	-	Copyright © 2009 by Adam Schell	-	Random House Publishing Group	978-0-440-33861-1	-	-	2009-01-01
139980	10898	empty	Dick Couch	The Warrior Elite	-	-	-	copyright © 2003 by SEAL Productions Ltd.	-	Three Rivers Press	978-0-307-56623-2	-	-	2003-01-01
140635	13701	empty	Gregory Maguire	Son of a Witch	-	-	-	HarperCollins	-	HarperCollins	9780061119798	-	-	-
147366	10052	empty	Chris Ryan	Who Dares Wins	-	-	-	-	-	Random House Group Limited	-	-	-	-
90359	7799	empty	Deb Baker	Dolly Departed (Dolls to Die for Mysteries)	-	General	-	-	-	Berkley	9780425220511	-	calibre (0.6.53) [http://calibre-ebook.com]	-
94826	8053	empty	Deb Baker	Goodbye Dolly (Dolls to Die for Mysteries)	-	General	-	-	-	Berkley	9780425217702	-	calibre (0.6.53) [http://calibre-ebook.com]	-
42887	6607	empty	Neal Stephenson	In the Beginning...Was the Command Line	-	-	-	HarperCollins	-	HarperCollins	9780061832901	-	-	-
124855	10260	empty	Andrew Rosenheim	Without Prejudice	-	-	-	-	-	Random House Group Limited	-	-	-	2/5/2009
