92630	8027	en-CA	Sarah Boston	Lucky Dog	-	-	-	-	-	House of Anansi Press Inc.	urn:uuid:9952A358-A9C0-450F-A757-79E122ED80D1	-	-	2014-05-02T20:25:29Z
96020	11266	en-CA	Clive Veroni	Spin	-	-	-	-	-	House of Anansi Press Inc	urn:uuid:311FB517-8008-4872-BBB2-3C56A4C2424A	-	-	2014-07-22T16:19:46Z
117376	11897	en-CA	Jay-Z	Decoded	-	Rap & Hip Hop	-	-	-	Random House Publishing Group	9781400068920	-	calibre (0.7.27) [http://calibre-ebook.com]	2010-11-16T02:56:12.348000+00:00
