170502	15034	English	KATHY REICHS	Temperance Brennan 01 - Déjà Dead	-	Fiction	-	Copyright © 1997 Kathleen J. Reichs	-	SCRIBNER	0-684-83906-7	-	calibre (0.6.48) [http://calibre.kovidgoyal.net]	2001-06-09T04:00:00+00:00
101236	10886	English	Tosca Lee	Demon	-	-	-	-	-	B&H Publishing Group	9781433668807	-	-	2010
206119	13926	English	Joseph Kertes	Gratitude	-	-	-	Copyright Â© 2008 by Joseph Kertes	-	PENGUIN GROUP (CANADA)	0-670-06669-9	-	-	2008
111260	12300	English	Edeet Ravel	Your Sad Eyes and Unforgettable Mouth	-	-	-	Copyright Â© Edeet Ravel, 2008	-	PENGUIN GROUP (CANADA)	978-0-14-316997-0	-	-	-
